ACI,EGJA,Alderney
YYQ,CYYQ,Churchill
PPG,NSTU,Pago Pago Int'l (Tutuila Int'l)
IGR,SARI,Cataratas del Iguazú Int'l (Iguazú Falls)
YFB,CYFB,Iqaluit
UBS,KUBS,Columbus-Lowndes County
YWH,CYWH,Victoria Inner Harbour
URB,SBUP,Urubupunga
DZA,FMCZ,Dzaoudzi Pamandzi Int'l
MEJ,KMEJ,Meade Muni
XYA,AGGY,Yandina
YSN,CYSN,St. Catharines/Niagara District
JUV,BGUK,Upernavik
KOJ,RJFK,Kagoshima
CJA,SPJR,Major General FAP Armando Revoredo Iglesias
IKO,PAKO,Nikolski As
CON,KCON,Concord Muni
DMW,KDMW,Carroll Co Rgnl
FBM,FZQA,Lubumbashi Int'l
MAL,KMAL,Malone-Dufort
WJU,RKNW,Wonju
ZHM,VGSH,Shamshernagar
BHI,SAZB,Comandante Espora
DAG,KDAG,Barstow-Daggett
PFO,LCPH,Paphos Int'l
MID,MMMD,Manuel Crescencio Rejon Int'l
BBD,KBBD,Curtis Field
CRT,KCRT,Z M Jack Stell Field
BDV,FZRB,Moba
NBL,MPWN,San Blas
OLP,YOLD,Olympic Dam
GWD,OPGD,Gwadar Int'l
MOM,GQNL,Letfotar
MFA,HTMA,Mafia
PRV,LKPO,P_erov
WWK,AYWK,Wewak Int'l
ODH,EGVO,RAF Odiham
HRT,KHRT,Hurlburt Field
GTB,SSGB,Guaratuba
JNX,KJNX,Johnston County
JAF,VCCJ,Kankesanturai
RIV,KRIV,March Arb
SRD,SLRA,San Ramon
KRP,EKKA,Karup
MBQ,HUMA,Mbarara
HYD,VOHS,Rajiv Gandhi Int'l
ELA,KELA,Eagle Lake
BGR,KBGR,Bangor Intl
MYC,SVBS,Mariscal Sucre (Venezuela)
BEZ,NGBR,Beru Island
MVZ,FVMV,Masvingo
BMB,FZFU,Bumba
VAO,AGGV,Suavanao
SBZ,LRSB,Sibiu Int'l
MNR,FLMG,Mongu
ZCO,SCTC,Maquehue
BOX,YBRL,Borroloola
CEU,KCEU,Oconee County Rgnl
DYB,KDYB,Summerville
ELG,DAUE,El Golea
CTB,KCTB,Cut Bank Muni
BOJ,LBBG,Burgas Int'l (Sarafovo)
MPD,OPMP,Sindhri
FEN,SBFN,Fernando de Noronha
AAM,FAMD,Malamala
ZUH,ZGSD,Zhuhai Int'l
TQK,KTQK,Scott City Muni
TUF,LFOT,Tours Val de Loire
PHP,KPHP,Philip
QEF,EDFE,Frankfurt Egelsbach
VAP,SCVA,Valparaiso
DVT,KDVT,Phoenix Deer Valley
PFJ,BIPA,Patreksfjordur
FAO,LPFR,Faro
GAW,VYGG,Gangaw
GHU,SAAG,Gualeguaychú
BFI,KBFI,Boeing Field Intl
SHV,KSHV,Shreveport Rgnl
XCX,LFCA,Chatellerault
YQQ,CYQQ,CFB Comox (Comox)
YKU,CYKU,Chisasibi Airport
XRN,LFER,Bains Sur Oust
LUQ,SAOU,San Luis
AQO,KAQO,Llano Muni
VHZ,NTUV,Vahitahi
FET,KFET,Fremont Muni
JAA,OAJL,Jalalabad
CEY,KCEY,Kyle-Oakley Field
SGO,YSGE,Saint George
MQL,YMIA,Mildura
TJI,MHTJ,Trujillo
CHH,SPPY,Chachapoyas
BLA,SVBC,General Jose Antonio Anzoategui Int'l
GYM,MMGM,General Jose Maria Yanez Int'l
TGO,ZBTL,Tongliao
NOU,NWWW,La Tontouta Int'l
ELZ,KELZ,Wellsville Muni Arpt
CNJ,YCCY,Cloncurry
BWF,EGNL,Barrow/Walney Island Airfield
HBX,VAHB,Hubli / Hubli Air Force Base
GEG,KGEG,Spokane Intl
OKK,KOKK,Kokomo Muni
SCQ,LEST,Santiago de Compostela
NGU,KNGU,Norfolk Ns (Chambers Fld)
DOD,HTDO,Dodoma
ZBY,VLSB,Sayaboury
BBQ,TAPH,Codrington
SCK,KSCK,Stockton Metropolitan
SHN,KSHN,Sanderson Field
QLA,EGHL,Lasham Airfield
EOR,SVED,El Dorado (Venezuela)
MQW,KMQW,Telfair-Wheeler
KYD,RCLY,Lanyu
BDS,LIBR,Casale
CYT,PACY,Yakataga
ESC,KESC,Delta County
TKQ,HTKA,Kigoma
PTP,TFFR,Pointe
LVP,OIBV,Lavan
HID,YHID,Horn Island
ALD,SPAR,Alerta
NEC,SAZO,Necochea
CEK,USCC,Balandino
CYX,UESS,Chersky
CXF,PACX,Coldfoot
PSL,EGPT,Perth (Scotland)
RCA,KRCA,Ellsworth Afb
CFT,KCFT,Greenlee County
BGE,KBGE,Decatur County Arpt
DVP,KDVP,Slayton Muni
ARH,ULAA,Talagi
ELP,KELP,El Paso Intl
AGR,VIAG,Agra / Agra Air Force Station
FMN,KFMN,Four Corners Rgnl
BLT,YBTR,Blackwater
SHI,RORS,Shimojishima
ONM,KONM,Socorro Muni
YPJ,CYLA,Aupaluk
SQQ,EYSA,Šiauliai Int'l (Zokniai)
SHS,ZHSS,Shashi
JGO,BGGN,Qeqertarsuaq Heliport (Godhavn Heliport)
BMG,KBMG,Monroe County
ARN,ESSA,Stockholm-Arlanda
ESW,KESW,Easton State
VGT,KVGT,North Las Vegas
BYS,KBYS,Bicycle Lake Aaf
AVN,LFMV,Avignon Caumont
BEG,LYBE,Belgrade Nikola Tesla Int'l
FPO,MYGF,Grand Bahama Int'l (Freeport Int'l)
MUY,FCBM,Mouyondzi
KRF,ESNK,Kramfors
LKN,ENLK,Leknes
OCV,SKOC,Aguas Claras
REI,SOOR,Regina
HMG,YHMB,Hermannsburg
PSM,KPSM,Portsmouth Intl At Pease
GNI,KGNI,Grand Isle
KEQ,WASE,Kebar
XVI,LFHH,Vienne Reventin
ANB,KANB,Anniston Rgnl
BYL,KBYL,Williamsburg-Whitley County
BFO,FVCZ,Buffalo Range
DAM,OSDI,Damascus Int'l
REG,LICR,Reggio Calabria
CUY,YCUE,Cue
VBW,KVBW,Bridgewater Air Park
AAO,SVAN,Anaco
MSZ,FNMO,Namibe
LLE,FAMN,Malelane
DBO,YSDU,Dubbo
JAI,VIJP,Jaipur (Sanganer)
GRR,KGRR,Gerald R. Ford Intl
TKN,RJKN,Tokunoshima
DRW,YPDN,Darwin Int'l / RAAF
ANI,PANI,Aniak
KPS,YKMP,Kempsey
TAF,DAOL,Oran Tafaraoui
SYN,KSYN,Stanton Airfield
LSC,SCSE,La Florida
HTH,KHTH,Hawthorne Industrial
UPN,MMPN,Lic. y Gen. Ignacio Lopez Rayon
YHN,CYHN,Hornepayne Municipal
AJC,PAJC,Chignik
YIV,CYIV,Island Lake
BDU,ENDU,Bardufoss
FTA,NVVF,Futuna
LRE,YLRE,Longreach
RNE,LFLO,Roanne Renaison
BWK,LDSB,Bol
KAD,DNKA,Kaduna Int'l
RDK,KRDK,Red Oak Muni
HUT,KHUT,Hutchinson Muni
CLJ,LRCL,Cluj-Napoca Int'l (Someşeni)
GGW,KGGW,Wokal Field/Glasgow Intl
OSK,ESMO,Oskarshamn
GOO,YGDI,Goondiwindi
TRG,NZTG,Tauranga
THR,OIII,Mehrabad Int'l
SLB,KSLB,Storm Lake Muni
LMO,KLMO,Vance Brand
SAT,KSAT,San Antonio Intl
JVL,KJVL,Southern Wisconsin Rgnl
SCV,LRSV,Suceava
TTK,PTSA,Kosrae
CNG,LFBG,Cognac-Chateaubernard
SMY,GOTS,Simenti
DNK,UKDD,Dnipropetrovsk Int'l
BVB,SBBV,Boa Vista Int'l
ODX,KODX,Evelyn Sharp Field
KWG,UKDR,Kryvyi Rih Int'l
MGF,SBMG,Maringa
PYG,KPYG,Pageland
UMI,SPIL,Quince Mil
HBC,KHBC,Mohall Muni
RHV,KRHV,Santa Clara Co Arpt
CPV,SBKG,Joao Suassuna
HRO,KHRO,Boone County
CKZ,KCKZ,Pennridge
RJD,KRJD,Ridgely Airpark
Z84,PACL,Clear
PSC,KPSC,Tri-Cities
KTE,WMKE,Kerteh
DBV,LDDU,Dubrovnik
BXH,UAAH,Balkhash
MMO,GVMA,Maio
CHQ,LGSA,Chania Int'l\, Ioannis Daskalogiannis
BIO,LEBB,Bilbao
HOU,KHOU,William P Hobby
SBN,KSBN,South Bend
HIE,KHIE,Mount Washington Rgnl
CCZ,MYBC,Chub Cay Int'l
MZO,MUMZ,Sierra Maestra
MHZ,EGUN,RAF Mildenhall
MLI,KMLI,Quad City Intl
CRD,SAVC,General Enrique Mosconi
SJT,KSJT,San Angelo Rgnl
LUX,KLUX,Laurens County
CYO,KCYO,Pickaway County Memorial
KLQ,WIPV,Keluang
MIU,DNMA,Maiduguri Int'l
SMI,LGSM,Samos Int'l\, Aristarchos
AHI,WAPA,Amahai
ANJ,FCBZ,Zanaga
IND,KIND,Indianapolis Intl
GKJ,KGKJ,Port Meadville
ZMT,CZMT,Masset
KPI,WBGP,Kapit
LAS,KLAS,McCarran Intl
OEM,SMPA,Vincent Fayks
FFT,KFFT,Capital City
ENV,KENV,Wendover
TOL,KTOL,Toledo Express
VNE,LFRV,Vannes Meucon
QQT,BGQE,Qeqertaq Heliport
BLE,ESSD,Borlange
CIR,KCIR,Cairo Rgnl
MCF,KMCF,Mac Dill Afb
LPC,KLPC,Lompoc
GZA,LVGZ,Yasser Arafat Int'l
GIZ,OEGN,Gizan Regional
YSU,CYSU,Summerside
MJT,LGMT,Mytilene Int'l\, Odysseas Elytis
HVB,YHBA,Hervey Bay
VST,ESOW,Stockholm
X95,TJFA,Diego Jimenez Torres
RVN,KRVN,Hawkins County
MEB,KMEB,Laurinburg-Maxton
KAS,FYKB,Karasburg
SGG,WBGY,Simanggang
OUD,GMFO,Angads
XSO,RPNO,Siocon
MJD,KMJD,Picayune Muni
UNO,KUNO,West Plains Rgnl
WAP,SCAP,Alto Palena
VOG,URWW,Gumrak
FUT,NLWF,Futuna-Pointe Vele Airport (Maopoop Airport)
ABK,HAKD,Kabri Dar
MZI,GAMB,Mopti (Barbe)
YWG,CYWG,Winnipeg Int'l
MRB,KMRB,Eastern WV Rgnl
OXB,GGOV,Osvaldo Vieiro Int'l
MZB,FQMP,Mocimboa da Praia
YXJ,CYXJ,Fort St. John (North Peace)
GPM,KGPM,Grand Prairie Muni
AAE,DABB,Rabah Bitat
CRP,KCRP,Corpus Christi Intl
UIQ,NVVQ,Quoin Hill
DIN,VVDB,Dien Bien Phu
CLW,KCLW,Clearwater Air Park
DIE,FMNA,Arrachart
CPC,KCPC,Columbus County Muni
FRJ,LFTU,Frejus Saint-Raphael
AKQ,KAKQ,Wakefield Muni
CAL,EGEC,Campbeltown
MHH,MYAM,Marsh Harbour
GVL,KGVL,Lee Gilmer Memorial
BGY,LIME,Orio al Serio Int'l
BFH,SBBI,Bacacheri
SRN,YSRN,Strahan
AJJ,GQNJ,Akjoujt
MDQ,SAZM,Astor Piazzola Int'l
HKA,KHKA,Blytheville Muni
FDR,KFDR,Frederick Rgnl
DGL,KDGL,Douglas Muni
CLM,KCLM,William R Fairchild Intl
OES,SAVN,San Antonio Oeste (Antoine de Saint Exupery)
AID,KAID,Anderson Municipal
DKK,KDKK,Chautauqua County/Dunkirk
HMN,KHMN,Holloman Afb
GJR,BIGJ,Gjogur
XCB,LFQI,Cambrai Epinoy
MRI,PAMR,Merrill Field
BVN,KBVN,Albion Muni
TEZ,VETZ,Tezpur (Tezpur Air Force Base)
TDD,SLTR,Teniente Jorge Henrich Arauz
IKT,UIII,Irkutsk Int'l
BOP,FEFO,Bouar
PWA,KPWA,Wiley Post
BDJ,WAOO,Syamsudin Noor
RBT,HKMB,Marsabit
DKX,KDKX,Knoxville Downtown Island
LUV,WAPL,Dumatubin
EVY,KEVY,Summit
ARV,KARV,Lakeland/Lee Field Arpt
MKR,YMEK,Meekatharra
RMA,YROM,Roma
DEL,VIDP,Indira Gandhi Int'l
YLD,CYLD,Chapleau
WMR,FMNC,Mananara Nord
URT,VTSB,Surat Thani
MCH,SEMH,General M. Serrano
WMX,WAJW,Wamena
AEG,WIME,Aek Godang
MEZ,KMEZ,Mena Intermountain Muni
KOP,VTUW,Nakhon Phanom
BLG,WBGC,Belaga
ANK,KANK,Harriet Alexander Field
PGX,LFBX,Perigueux
CMX,KCMX,Houghton County Memorial
OSS,UAFO,Osh
AXT,RJSK,Akita
SBG,WIAA,Maimun Saleh
BZG,EPBY,Bydgoszcz Ignacy Jan Paderewski
YDP,CYDP,Nain
ATF,SEAM,Chachoan
INV,EGPE,Inverness
BOW,KBOW,Bartow Muni
VAK,PAVA,Chevak
MZV,WBMU,Mulu
IFJ,BIIS,Isafjordur
AWM,KAWM,West Memphis Muni
HUX,MMBT,Bahias de Huatulco Int'l
DVL,KDVL,Devils Lake Rgnl
PHO,PAPO,Point Hope
SJI,RPUH,San Jose
UKF,KUKF,Wilkes County
SYZ,OISS,Shiraz Int'l (Shiraz Shahid Dastghaib Int'l)
TRF,ENTO,Sandefjord\, Torp
AVK,KAVK,Alva Rgnl
ERZ,LTCE,Erzurum
ZKP,FLKE,Kasompe
XMH,NTGI,Manihi
PNM,KPNM,Princeton Muni
HOE,KHOE,Homerville
UVA,KUVA,Garner Field
PVE,MPVR,El Porvenir
EJA,SKEJ,Yariguies
CAI,HECA,Cairo Int'l
YNB,OEYN,Yanbu Domestic
FMG,MRFL,Flamingo (Costa Rica)
WIL,HKNW,Wilson
YCQ,CYCQ,Chetwynd
YEM,CYEM,Manitowaning/Manitoulin East Municipal
DCT,MYRD,Duncan Town
GSR,HCMG,Gardo
TJH,RJBT,Tajima
FRR,KFRR,Front Royal-Warren County
NBX,WABI,Nabire
HKD,RJCH,Hakodate
YCR,CYCR,Cross Lake (Charlie Sinclair Memorial)
FIE,EGEF,Fair Isle
SYJ,OIKY,Sirjan
PCW,KPCW,Carl R Keller Field
YAI,SCCH,General Bernardo O'Higgins
SZJ,MUSN,Siguanea
PCB,WIIP,Pondok Cabe
BKL,KBKL,Burke Lakefront
MBW,YMMB,Moorabbin
IYK,KIYK,Inyokern
LHI,WAJL,Lereh
LSU,WBGU,Long Sukang
MWD,OPMI,Mianwali Airbase
ITR,KITR,Kit Carson County
MOB,KMOB,Mobile Rgnl
MEZ,FAMS,Messina
TUK,OPTU,Turbat
RME,KRME,Griffiss Intl
KUU,VIBR,Bhuntar
GCY,KGCY,Greeneville-Greene Co Muni
BUR,KBUR,Bob Hope
IXA,KIXA,Halifax-Northampton Rgnl
CJS,MMCS,Abraham Gonzalez Int'l
DPL,KDPL,Duplin Co
CBR,YSCB,Canberra Int'l
GZS,KGZS,Abernathy Field
DIJ,KDIJ,Driggs-Reed Memorial
DJE,DTTJ,Djerba-Zarzis Int'l
MQS,KMQS,Chester County G O Carlson
VLG,SAZV,Villa Gesell
THC,GLTN,Tchien
OAM,NZOU,Oamaru Aerodrome
LRL,DXNG,Niamtougou Int'l
DZN,UAKD,Zhezkazgan
PPU,VYPP,Hpapun
ERV,KERV,Kerrville Muni
KAG,RKNN,Gangneung Airbase
THO,BITN,Thorshofn
DMD,YDMG,Doomadgee
MCR,MGMM,Melchor de Mencos
HJO,KHJO,Hanford Muni
TUQ,DFOT,Tougan
CUR,TNCC,Hato Int'l
MFV,KMFV,Accomack County
RUK,VNRK,Rukumkot
GCM,MWCR,Owen Roberts Int'l
XDK,LFAK,Dunkerque
AUK,PAUK,Alakanuk
RGH,VEBG,Balurghat
LWL,KLWL,Wells Muni/Harriet Field
PIU,SPUR,Capitan FAP Guillermo Concha Iberico
LAM,KLAM,Los Alamos
AGB,EDMA,Augsburg
SII,GMMF,Sania Ramel
GKA,AYGA,Goroka
TLV,LLBG,Ben Gurion Int'l
UOX,KUOX,University-Oxford
VLD,KVLD,Valdosta Rgnl
YNE,CYNE,Norway House
CNQ,SARC,Doctor Fernando Piragine Niveyro Int'l
QKE,FLKW,Milliken
SZF,LTFH,Samsun
LSK,KLSK,Lusk Muni
MXR,UKBM,Myrhorod
OFK,KOFK,Norfolk Rgnl/Karl Stefan Memorial Fld
PUQ,SCCI,Carlos Ibanez Del Campo Int'l
YEH,OIBI,Asalouyeh
MYW,HTMT,Mtwara
CHK,KCHK,Chickasha Muni
LTB,YLTV,Latrobe Valley
SJO,MROC,Juan Santamaria Int'l
VKX,KVKX,Potomac Airfield
CGM,RPMH,Camiguin
AAW,OPAB,Abbottabad
KLU,LOWK,Klagenfurt (Woerthersee)
HAJ,EDDV,Hanover/Langenhagen Int'l
YKX,CYKX,Kirkland Lake
LGB,KLGB,Daugherty Field
VAF,LFLU,Valence Chabeuil
CHU,KCHU,Houston County
JAK,MTJA,Jacmel
FCH,KFCH,Fresno Chandler Executive
UIB,SKUI,El Carano
DIV,DIDV,Divo
BIT,VNBT,Baitadi
OKC,KOKC,Will Rogers World
JEG,BGAA,Aasiaat
QHR,HAHM,Harar Meda
BMF,FEGM,Bakouma
BFA,KBFA,Boyne Mountain
CUF,LIMZ,Cuneo Levaldigi
PBF,KPBF,Grider Field
UDD,KUDD,Bermuda Dunes
WLH,NVSW,Walaha
ICT,KICT,Wichita Mid-Continent
BRI,LIBD,Palese Macchie
YAY,CYAY,St. Anthony
ROB,GLRB,Roberts Int'l
DEQ,KDEQ,Sevier County Arpt
GNF,KGNF,Grenada Muni
APT,KAPT,Marion County-Brown Field
YUS,ZLYS,Ba Tong Airport
MIS,AYMM,Misima
RSA,SAZR,Santa Rosa
MQU,SKQU,Mariquita
DAE,VEDZ,Daporijo
FYV,KFYV,Drake Field
TZT,KTZT,Belle Plaine Muni
RBG,KRBG,Roseburg Rgnl
PIN,SWPI,Julio Belem
PUR,SLPR,Puerto Rico
PGD,KPGD,Punta Gorda
TGH,NVST,Tongoa
FTT,KFTT,Elton Hensley Memorial
CXP,KCXP,Carson
PUJ,KPUJ,Paulding Northwest Atlanta
SUS,KSUS,Spirit Of St Louis
D22,KD22,Yacht Haven
ASN,KASN,Talladega Muni
FFZ,KFFZ,Falcon Fld
MVV,LFHM,Megeve
FFA,KFFA,First Flight
MGK,VYMT,Mong-Tong
AYT,LTAI,Antalya
SPF,KSPF,Black Hills Arpt
KGD,UMKK,Khrabrovo
VRK,EFVR,Varkaus
FKQ,WASF,Torea
TKU,EFTU,Turku
BUD,LHBP,Budapest Ferihegy Int'l
TVC,KTVC,Cherry Capital
OXR,KOXR,Oxnard
NCS,FANC,Newcastle
AKK,PAKH,Akhiok
BKT,KBKT,Allen C Perkinson Blackstone Aaf
MLF,KMLF,Milford Municipal
LHW,KLHW,Wright Aaf (Fort Stewart)/Midcoast Rgnl
MXS,NSMA,Maota
BQE,GGBU,Bubaque
HOB,KHOB,Lea County Rgnl
GHM,KGHM,Centerville Muni
TIJ,MMTJ,General Abelardo L. Rodriguez Int'l
MPT,WPMN,Maliana
PQE,SKPQ,German Olano AB
UWL,KUWL,New Castle Co Muni
HPB,PAHP,Hooper Bay
ZGC,ZLLL,Lanzhou Zhongchuan (Lanzhou West)
ADQ,PADQ,Kodiak
ORY,LFPO,Paris Orly
NDB,GQPP,Nouadhibou Int'l
SDR,LEXJ,Santander
CFJ,KCFJ,Crawfordsville Muni
MRO,NZMS,Masterton Aerodrome
CNO,KCNO,Chino
MRS,LFML,Marseille Provence
KEP,VNNG,Nepalgunj
SUD,KSUD,Stroud Muni
BSB,SBBR,Presidente Juscelino Kubitschek Int'l
IZG,KIZG,Eastern Slopes Rgnl
LGH,YLEC,Leigh Creek
BJH,VNBG,Bajhang
SJE,SKSJ,Jorge Enrique Gonzalez
BIL,KBIL,Billings Logan Intl
CBM,KCBM,Columbus Afb
RCT,KRCT,Nartron Field
ATR,GQPA,Atar Int'l
PBH,KPBH,Price County
ZNE,YNWN,Newman
JEE,MTJE,Jeremie
DYU,UTDD,Dushanbe
LLW,FWKI,Lilongwe Int'l (Kamuzu Int'l)
IWA,KIWA,Phoenix-Mesa Gateway
GOO,KGOO,Nevada County Air Park
GKY,KGKY,Arlington Muni
JCH,BGCH,Christianshab Heliport
IKL,FZGV,Ikela
TUS,KTUS,Tucson Intl
PSO,SKPS,Antonio Narino
BVF,NFNU,Bua
OOK,PAOO,Toksook Bay
ONJ,RJSR,Odate-Noshiro
JKL,KJKL,Julian Carroll
FZO,EGTG,Bristol Filton
SHD,KSHD,Shenandoah Valley Rgnl
PSA,LIRP,Galileo Galilei (Pisa Int'l)
VVC,SKVV,La Vanguardia
JCU,GECT,Ceuta Heliport
VAL,SNVB,Valenca
BDQ,KBDQ,Morrilton Muni
TIW,KTIW,Tacoma Narrows
MAZ,TJMZ,Eugenio Maria De Hostos
JFZ,KJFZ,Tazewell County
TOE,DTTZ,Tozeur Nefta
OVA,FMSL,Bekily
AVU,AGGJ,Avu Avu
NBV,KNBV,Coastal Systems Station
BXA,KBXA,Carr Memorial Air Fld
BQS,UHBB,Ignatyevo
AMP,FMSY,Ampanihy
SKU,LGSY,Skyros Island National
JSM,SAWS,Jose de San Martin
MXJ,DNMN,Minna
HWQ,KHWQ,Wheatland Co
SBU,FASB,Springbok
BUP,VIBT,Bhisiana Air Force Base
PBC,MMPB,Hermanos Serdan Int'l
UUU,KUUU,Newport State
CHB,OPCL,Chilas
GLL,ENUK,Gol\, Klanten
OZZ,GMMZ,Ouarzazate
IMS,KIMS,Madison Muni
NEV,TKPN,Vance W. Amory Int'l
NTN,YNTN,Normanton
XSP,WSSL,Seletar
MWE,HSMR,Merowe
LKH,WBGL,Long Akah
WYE,GFYE,Yengema
AXU,HAAX,Axum
LYB,MWCL,Edward Bodden Airfield (Little Cayman)
BEF,MNBL,Bluefields
BJW,WRKB,Padhameleda
OSD,ESNZ,Ostersund (Froson Air Base)
RTN,KRTN,Raton Muni/Crews Field
FSC,LFKF,Figari Sud Corse
TTU,GMTN,Sania Ramel
VLR,SCLL,Vallenar
SKV,HESC,St. Catherine Int'l
ORE,KORE,Orange Muni
LNO,YLEO,Leonora
MKE,KMKE,General Mitchell Intl
YQF,CYQF,Red Deer Regional
MJA,FMSJ,Manja
EVM,KEVM,Eveleth-Virginia Muni
SAN,KSAN,San Diego Intl
TDX,VTBO,Trat
ESL,URWI,Elista
GGI,KGGI,Grinnell Rgnl
PTB,KPTB,Dinwiddie County
GPA,LGRX,Araxos
TDO,KTDO,South Lewis Co Arpt
CAZ,YCBA,Cobar
MRU,FIMP,Sir Seewoosagur Ramgoolam Int'l
PPF,KPPF,Tri-City
REZ,SDRS,Resende
LTY,KLTY,Liberty County
SVA,PASA,Savoonga
UBA,SBUR,Uberaba
HIG,KHIG,Higginsville Muni
PCA,KPCA,Picacho Stagefield
BFW,KBFW,Silver Bay Muni
RAT,USNR,Raduzhny
KTQ,EFIT,Kitee
OCW,KOCW,Warren Field
YHI,CYHI,Ulukhaktok/Holman
FHU,KFHU,Sierra Vista Municipal 
TLJ,PATL,Tatalina Lrrs
MNC,FQNC,Nacala
MOA,MUMO,Orestes Acosta
MKI,FEGE,M'Boki
KRI,AYKK,Kikori
LES,FXLS,Lesobeng
JFK,KJFK,John F Kennedy Intl
STY,SUSO,Salto
NFL,KNFL,Fallon NAS
KID,ESMK,Kristianstad
STL,KSTL,Lambert-St Louis Intl
JAD,YPJT,Jandakot
ASI,FHAW,Wideawake Field (RAF Ascension Island)
SSN,RKSM,Seoul Airbase
PZH,OPZB,Zhob
UTR,VTPU,Uttaradit
PMV,SVMG,Del Caribe Int'l (Gen. Santiago Marino)
PIZ,PPIZ,Point Lay Lrrs
NUI,KNUI,Webster Nolf
LCO,FCBL,Lague
YNT,ZSYT,Yantai Laishan
WST,KWST,Westerly State
CUL,KCUL,Carmi Muni
NXP,KNXP,Twentynine Palms Self
JDZ,ZSJD,Jingdezhen
LVJ,KLVJ,Pearland Rgnl
BVY,KBVY,Beverly Muni
XOG,LFMO,Orange Caritat
FCI,KFCI,Richmond Executive-Chesterfield County
RPD,KRPD,Rice Lake Rgnl
BQL,YBOU,Boulia
YXX,CYXX,Abbotsford Int'l
RHD,SANH,Las Termas
KLG,PALG,Kalskag
CIN,KCIN,Arthur N Neu
FAR,KFAR,Hector Intl
OKZ,KOKZ,Kaolin Field
HOX,VYHL,Homalin
JED,OEJN,King Abdulaziz Int'l
KBL,OAKB,Kabul Int'l
TGU,MHTG,Toncontin Int'l
VOK,KVOK,Volk Field
GCI,EGJB,Guernsey
MFX,LFKX,Meribel Bois
CHA,KCHA,Lovell Field
AXQ,KAXQ,Clarion County
BNS,SVBI,Barinas
IZO,RJOC,Izumo
LVM,KLVM,Mission Field
KLY,FZOD,Kalima
PIM,KPIM,Harris County
INW,KINW,Winslow-Lindbergh Rgnl
KOG,VLKG,Khong
YCX,CYCX,Gagetown Heliport
WAT,EIWF,Waterford
TSR,LRTR,Timişoara Traian Vuia Int'l
STT,TIST,Cyril E King
FSM,KFSM,Fort Smith Rgnl
ADT,KADT,Atwood County
YZY,CYZY,Mackenzie
MEH,ENMH,Mehamn
KDH,OAKN,Kandahar
CVS,KCVS,Cannon Afb
LOR,KLOR,Lowe Ahp (Fort Rucker)
RST,KRST,Rochester Intl
SRR,KSRR,Sierra Blanca Rgnl
BWI,KBWI,Baltimore/Washington Intl
ONA,KONA,Winona Municipal
YTE,CYTE,Cape Dorset
MOV,YMRB,Moranbah
CYA,MTCA,Les Cayes
PNC,KPNC,Ponca City Rgnl
BNY,AGGB,Bellona/Anua
AOI,LIPY,Ancona Falconara (Raffaello Sanzio)
GLS,KGLS,Scholes Intl At Galveston
MNY,AGGO,Mono
ROW,KROW,Roswell Intl Air Center
YSD,CYSD,Suffield Heliport
JXI,KJXI,Gilmer Municipal
CGF,KCGF,Cuyahoga County
YIK,CYIK,Ivujivik
DWA,KDWA,Yolo County
YPZ,CYPZ,Burns Lake
XTH,LFGV,Thionville Yutz
PAG,RPMP,Pagadian
CEV,KCEV,Mettel Field
JES,KJES,Jesup-Wayne County
RJB,VNRB,Rajbiraj
CRX,KCRX,Roscoe Turner
YFH,CYFH,Fort Hope
SVW,PASV,Sparrevohn Lrrs
MCO,KMCO,Orlando Intl
UFA,UWUU,Ufa Int'l
WRO,EPWR,Copernicus Wrocław
SDM,KSDM,Brown Field Muni
DWU,KDWU,Ashland Rgnl
IAH,KIAH,Houston Bush Int'ctl
LET,SKLT,Vasquez Cobo Int'l
SHH,PASH,Shishmaref
ZYL,VGSY,Osmani Int'l
UUD,UIUU,Mukhino
FNL,KFNL,Ft Collins Regional
ACH,LSZR,St. Gallen-Altenrhein
ZEL,CYJQ,Bella Bella (Denny Island)
OBE,KOBE,Okeechobee County
CIZ,SWKO,Coari
CEA,KCEA,Cessna Acft Field
KAN,DNKN,Mallam Aminu Kano Int'l
FGD,GQPF,Fderik
JZP,KJZP,Pickens County
NRN,EDLV,Weeze
JFR,BGPT,Paamiut
WAI,FMNW,Ambalabe
TMN,NGTM,Tamana
YJN,CYJN,Saint-Jean
TAX,WAPT,Taliabu
IEJ,RORE,Iejima
NYU,VYBG,Nyaung U
GLO,EGBJ,Gloucestershire
XVN,LFGW,Verdun Le Rozelier
SEO,DISG,Seguela
PDT,KPDT,Eastern Oregon Rgnl
WYA,YWHA,Whyalla
JDF,SBJF,Francisco de Assis
CCA,KCCA,Clinton Muni
CFE,LFLC,Clermont-Ferrand Auvergne
UCN,GLBU,Buchanan
PBD,VAPR,Porbandar
LAL,KLAL,Lakeland Linder Rgnl
WME,YMNE,Mount Keith
YQW,CYQW,North Battleford (Cameron McIntosh)
RVK,ENRM,Rorvik\, Ryum
PNK,WIOO,Supadio
OSL,ENGM,Oslo\, Gardermoen
MPK,RKJM,Mokpo
PRG,LKPR,Prague Ruzyne Int'l
PMC,SCTE,El Tepual Int'l
XCP,LFAD,Compiegne
RPA,VNRP,Rolpa
SAL,MSLP,El Salvador Int'l
WVB,FYWB,Walvis Bay
BUB,KBUB,Cram Field
BHS,YBTH,Bathurst
LOS,DNMM,Murtala Mohammed Int'l
SDU,SBRJ,Santos Dumont Regional
